model_full1
C:\environment\homework_module7\venv\Scripts\python.exe C:/environment/homework_module7/novoe.py
Epoch 1/50, Train Loss: 0.4141, Val Loss: 0.3880
Epoch 2/50, Train Loss: 0.3881, Val Loss: 0.3861
Epoch 3/50, Train Loss: 0.3873, Val Loss: 0.3845
Epoch 4/50, Train Loss: 0.3857, Val Loss: 0.3834
Epoch 5/50, Train Loss: 0.3855, Val Loss: 0.3849
Epoch 6/50, Train Loss: 0.3843, Val Loss: 0.3828
Epoch 7/50, Train Loss: 0.3841, Val Loss: 0.3821
Epoch 8/50, Train Loss: 0.3821, Val Loss: 0.3786
Epoch 9/50, Train Loss: 0.3792, Val Loss: 0.3797
Epoch 10/50, Train Loss: 0.3815, Val Loss: 0.3782
Epoch 11/50, Train Loss: 0.3784, Val Loss: 0.3777
Epoch 12/50, Train Loss: 0.3781, Val Loss: 0.3775
Epoch 13/50, Train Loss: 0.3779, Val Loss: 0.3780
Epoch 14/50, Train Loss: 0.3778, Val Loss: 0.3773
Epoch 15/50, Train Loss: 0.3787, Val Loss: 0.3779
Epoch 16/50, Train Loss: 0.3777, Val Loss: 0.3772
Epoch 17/50, Train Loss: 0.3775, Val Loss: 0.3771
Epoch 18/50, Train Loss: 0.3775, Val Loss: 0.3771
Epoch 19/50, Train Loss: 0.3774, Val Loss: 0.3769
Epoch 20/50, Train Loss: 0.3773, Val Loss: 0.3772
Epoch 21/50, Train Loss: 0.3772, Val Loss: 0.3769
Epoch 22/50, Train Loss: 0.3772, Val Loss: 0.3768
Epoch 23/50, Train Loss: 0.3771, Val Loss: 0.3770
Epoch 24/50, Train Loss: 0.3771, Val Loss: 0.3768
Epoch 25/50, Train Loss: 0.3770, Val Loss: 0.3766
Epoch 26/50, Train Loss: 0.3769, Val Loss: 0.3766
Epoch 27/50, Train Loss: 0.3768, Val Loss: 0.3768
Epoch 28/50, Train Loss: 0.3768, Val Loss: 0.3766
Epoch 29/50, Train Loss: 0.3767, Val Loss: 0.3765
Epoch 30/50, Train Loss: 0.3768, Val Loss: 0.3765
Epoch 31/50, Train Loss: 0.3765, Val Loss: 0.3764
Epoch 32/50, Train Loss: 0.3764, Val Loss: 0.3772
Epoch 33/50, Train Loss: 0.3765, Val Loss: 0.3765
Epoch 34/50, Train Loss: 0.3764, Val Loss: 0.3763
Epoch 35/50, Train Loss: 0.3762, Val Loss: 0.3764
Epoch 36/50, Train Loss: 0.3762, Val Loss: 0.3769
Epoch 37/50, Train Loss: 0.3763, Val Loss: 0.3765
Epoch 38/50, Train Loss: 0.3762, Val Loss: 0.3763
Epoch 39/50, Train Loss: 0.3761, Val Loss: 0.3766
