iter	RMSE
0	2965.494314
1	2940.125584
2	2914.956124
3	2890.1204
4	2865.747771
5	2841.361479
6	2817.222006
7	2793.411015
8	2769.950479
9	2746.754267
10	2723.703679
11	2700.934767
12	2678.787338
13	2656.479414
14	2634.691309
15	2612.988113
16	2591.528478
17	2570.195433
18	2549.17373
19	2528.442052
20	2507.966823
21	2487.675049
22	2467.816143
23	2448.07062
24	2428.64143
25	2409.248868
26	2390.015842
27	2371.043356
28	2352.316562
29	2333.766246
30	2315.39784
31	2297.376176
32	2279.443695
33	2261.793226
34	2244.37167
35	2227.101144
36	2210.040094
37	2193.203828
38	2176.51673
39	2160.008625
40	2143.882571
41	2127.813802
42	2111.888495
43	2096.227273
44	2080.818515
45	2065.394209
46	2050.351784
47	2035.454253
48	2020.576181
49	2006.045978
50	1991.7801
51	1977.667392
52	1963.586129
53	1949.766854
54	1935.990993
55	1922.443465
56	1909.063203
57	1895.861758
58	1882.811247
59	1869.927548
60	1857.111943
61	1844.579351
62	1832.151273
63	1819.874876
64	1807.725823
65	1795.780586
66	1783.945952
67	1772.335167
68	1760.861708
69	1749.512342
70	1738.342152
71	1727.276631
72	1716.388378
73	1705.569414
74	1694.836425
75	1684.438528
76	1674.041066
77	1663.76437
78	1653.644482
79	1643.83621
80	1633.964744
81	1624.293889
82	1614.72103
83	1605.296729
84	1595.966483
85	1586.784246
86	1577.714746
87	1568.800674
88	1560.032071
89	1551.331327
90	1542.837998
91	1534.32106
92	1525.912171
93	1517.607994
94	1509.391668
95	1501.333654
96	1493.435098
97	1485.603068
98	1477.946264
99	1470.304765
100	1462.767316
101	1455.312487
102	1448.013441
103	1440.894651
104	1433.738881
105	1426.775467
106	1419.913846
107	1413.148729
108	1406.433776
109	1399.842596
110	1393.461662
111	1387.094358
112	1380.776133
113	1374.584301
114	1368.555356
115	1362.511557
116	1356.557684
117	1350.749268
118	1344.937905
119	1339.248164
120	1333.636818
121	1328.089998
122	1322.692234
123	1317.340946
124	1312.076766
125	1306.919903
126	1301.776568
127	1296.791757
128	1291.823817
129	1286.8787
130	1282.035064
131	1277.268863
132	1272.66442
133	1268.025593
134	1263.522063
135	1259.122652
136	1254.754806
137	1250.408173
138	1246.210096
139	1242.014009
140	1237.893486
141	1233.846414
142	1229.847914
143	1225.851409
144	1221.973458
145	1218.173369
146	1214.436739
147	1210.723
148	1207.065773
149	1203.47424
150	1199.913503
151	1196.427137
152	1192.970942
153	1189.578225
154	1186.202955
155	1182.946427
156	1179.733747
157	1176.575894
158	1173.452339
159	1170.377763
160	1167.340096
161	1164.398606
162	1161.47904
163	1158.596404
164	1155.764784
165	1152.96393
166	1150.228265
167	1147.524477
168	1144.867268
169	1142.260025
170	1139.705715
171	1137.121094
172	1134.638956
173	1132.190682
174	1129.775295
175	1127.390316
176	1125.003127
177	1122.68024
178	1120.439495
179	1118.216462
180	1116.03706
181	1113.913364
182	1111.805473
183	1109.723557
184	1107.655638
185	1105.626769
186	1103.592446
187	1101.611514
188	1099.716623
189	1097.840729
190	1095.985423
191	1094.158707
192	1092.35026
193	1090.546743
