iter	Passed	Remaining
0	37	56523
1	73	54704
2	105	52539
3	133	50052
4	160	47967
5	188	46869
6	215	45925
7	242	45265
8	269	44628
9	296	44125
10	321	43541
11	347	43056
12	372	42633
13	398	42319
14	425	42094
15	451	41850
16	476	41547
17	501	41311
18	526	41058
19	552	40848
20	583	41093
21	611	41107
22	642	41232
23	671	41287
24	696	41100
25	724	41070
26	752	41075
27	781	41082
28	811	41147
29	839	41123
30	868	41149
31	897	41170
32	926	41197
33	955	41197
34	981	41096
35	1009	41045
36	1036	40983
37	1064	40953
38	1092	40944
39	1121	40948
40	1150	40932
41	1179	40944
42	1209	40996
43	1241	41073
44	1271	41125
45	1300	41097
46	1326	41021
47	1353	40935
48	1378	40826
49	1405	40769
50	1434	40763
51	1460	40678
52	1486	40579
53	1512	40512
54	1537	40406
55	1564	40347
56	1594	40358
57	1621	40325
58	1649	40294
59	1676	40241
60	1702	40163
61	1728	40098
62	1756	40076
63	1789	40150
64	1816	40112
65	1843	40059
66	1871	40021
67	1896	39947
68	1924	39908
69	1949	39824
70	1975	39760
71	2004	39748
72	2033	39750
73	2061	39733
74	2090	39711
75	2119	39720
76	2148	39707
77	2177	39699
78	2206	39695
79	2234	39669
80	2263	39648
81	2292	39642
82	2320	39614
83	2349	39608
84	2380	39627
85	2409	39623
86	2439	39623
87	2471	39660
88	2498	39618
89	2525	39559
90	2550	39493
91	2579	39475
92	2605	39421
93	2631	39363
94	2658	39319
95	2685	39270
96	2713	39242
97	2740	39212
98	2767	39168
99	2798	39174
100	2826	39144
101	2854	39121
102	2880	39074
103	2906	39019
104	2930	38937
105	2958	38913
106	2986	38885
107	3013	38836
108	3039	38787
109	3066	38744
110	3091	38688
111	3116	38617
112	3141	38556
113	3166	38502
114	3194	38474
115	3224	38468
116	3251	38440
117	3280	38420
118	3308	38399
119	3336	38371
120	3365	38350
121	3393	38325
122	3420	38295
123	3447	38260
124	3475	38232
125	3502	38199
126	3530	38163
127	3561	38170
128	3592	38182
129	3625	38205
130	3654	38188
131	3683	38169
132	3710	38138
133	3735	38083
134	3766	38084
135	3792	38039
136	3823	38041
137	3848	37987
138	3874	37934
139	3900	37889
140	3926	37841
141	3953	37806
142	3978	37753
143	4004	37712
144	4030	37660
145	4056	37616
146	4079	37549
147	4104	37497
148	4128	37434
149	4158	37428
150	4184	37382
151	4210	37343
152	4236	37300
153	4262	37256
154	4288	37208
155	4314	37172
156	4339	37122
157	4365	37076
158	4394	37064
159	4424	37053
160	4453	37042
161	4480	37007
162	4510	36994
163	4540	36988
164	4570	36982
165	4598	36957
166	4631	36971
167	4662	36964
168	4689	36931
169	4717	36906
170	4745	36882
171	4775	36874
172	4808	36881
173	4844	36921
174	4874	36904
175	4900	36861
176	4925	36815
177	4952	36781
178	4979	36747
179	5004	36700
180	5030	36660
181	5056	36615
182	5081	36571
183	5107	36526
184	5132	36484
185	5159	36449
186	5185	36410
187	5214	36392
188	5240	36347
189	5267	36316
190	5293	36278
191	5317	36224
192	5345	36196
193	5375	36187
194	5401	36145
195	5426	36103
196	5454	36074
197	5477	36018
198	5513	36046
199	5544	36041
200	5583	36085
201	5618	36100
202	5651	36109
203	5686	36127
204	5719	36127
205	5752	36137
206	5785	36135
207	5815	36126
208	5845	36109
209	5880	36124
210	5909	36100
211	5936	36068
212	5965	36045
213	5996	36032
214	6027	36023
215	6059	36019
216	6089	36005
217	6118	35982
218	6146	35951
219	6171	35909
220	6198	35871
221	6224	35831
222	6249	35788
223	6274	35740
224	6298	35692
225	6325	35656
226	6351	35619
227	6378	35586
228	6404	35548
229	6431	35512
230	6456	35469
231	6482	35431
232	6508	35389
233	6533	35345
234	6561	35323
235	6591	35302
236	6622	35292
237	6651	35267
238	6678	35236
239	6702	35186
240	6728	35150
241	6754	35112
242	6782	35083
243	6810	35056
244	6838	35032
245	6868	35014
246	6904	35026
247	6934	35006
248	6962	34978
249	6991	34958
250	7022	34944
251	7051	34920
252	7080	34899
253	7109	34877
254	7140	34864
255	7169	34840
256	7205	34850
257	7235	34832
258	7266	34816
259	7295	34793
260	7322	34759
261	7348	34723
262	7374	34683
263	7399	34643
264	7425	34605
265	7451	34567
266	7480	34545
267	7513	34541
268	7545	34530
269	7575	34510
270	7606	34498
271	7638	34483
272	7668	34463
273	7695	34434
274	7720	34393
275	7745	34349
276	7772	34318
277	7800	34289
278	7826	34252
279	7854	34222
280	7883	34201
281	7915	34186
282	7942	34156
283	7969	34122
284	7995	34085
285	8025	34067
286	8052	34035
287	8082	34012
288	8111	33987
289	8139	33962
290	8168	33938
291	8199	33920
292	8228	33897
293	8258	33875
294	8286	33848
295	8314	33821
296	8342	33792
297	8371	33766
298	8402	33749
299	8431	33727
300	8464	33715
301	8494	33697
302	8522	33667
303	8551	33643
304	8581	33621
305	8607	33584
306	8632	33545
307	8657	33505
308	8683	33469
309	8711	33440
310	8738	33408
311	8766	33380
312	8794	33353
313	8819	33313
314	8845	33277
315	8875	33255
316	8900	33215
317	8925	33177
318	8958	33166
319	8988	33145
320	9016	33114
321	9043	33083
322	9070	33054
323	9098	33022
324	9124	32989
325	9150	32953
326	9178	32923
327	9208	32902
328	9252	32932
329	9283	32914
330	9311	32885
331	9340	32860
332	9369	32833
333	9397	32808
334	9424	32774
335	9453	32749
336	9481	32722
337	9511	32698
338	9543	32684
339	9578	32678
340	9611	32669
341	9642	32650
342	9674	32632
343	9702	32605
344	9726	32563
345	9753	32530
346	9779	32495
347	9804	32456
348	9830	32419
349	9855	32383
350	9880	32345
351	9910	32320
352	9936	32287
353	9970	32277
354	9995	32239
355	10021	32204
356	10045	32163
357	10074	32136
358	10102	32107
359	10128	32073
360	10159	32053
361	10191	32037
362	10221	32014
363	10249	31988
364	10279	31963
365	10304	31927
366	10333	31900
367	10356	31858
368	10383	31827
369	10411	31798
370	10440	31773
371	10469	31746
372	10499	31724
373	10525	31689
374	10556	31670
375	10589	31654
376	10621	31637
377	10647	31605
378	10675	31575
379	10704	31549
380	10732	31521
381	10760	31493
382	10789	31467
383	10817	31438
384	10851	31426
385	10882	31406
386	10909	31376
387	10939	31351
388	10966	31321
389	11000	31309
390	11025	31270
391	11049	31233
392	11077	31202
393	11104	31171
394	11131	31140
395	11157	31106
396	11182	31069
397	11207	31031
398	11232	30994
399	11256	30954
400	11283	30925
401	11309	30890
402	11332	30849
403	11363	30827
404	11390	30795
405	11420	30772
406	11448	30745
407	11474	30710
408	11502	30682
409	11531	30656
410	11556	30620
411	11588	30603
412	11618	30578
413	11652	30566
414	11683	30545
415	11710	30514
416	11739	30489
417	11769	30464
418	11796	30434
419	11827	30414
420	11856	30388
421	11887	30365
422	11915	30338
423	11943	30309
424	11970	30278
425	12004	30265
426	12042	30261
427	12070	30232
428	12098	30204
429	12126	30175
430	12151	30138
431	12178	30108
432	12204	30073
433	12229	30038
434	12255	30003
435	12283	29975
436	12308	29941
437	12335	29910
438	12359	29870
439	12382	29831
440	12408	29797
441	12433	29761
442	12457	29722
443	12482	29689
444	12507	29653
445	12534	29621
446	12564	29597
447	12591	29567
448	12617	29533
449	12645	29505
450	12674	29480
451	12704	29456
452	12730	29424
453	12759	29397
454	12785	29364
455	12809	29328
456	12834	29292
457	12858	29254
458	12887	29229
459	12912	29193
460	12943	29171
461	12965	29131
462	12990	29095
463	13020	29072
464	13052	29052
465	13074	29010
466	13098	28973
467	13121	28934
468	13146	28899
469	13173	28869
470	13197	28832
471	13219	28790
472	13244	28756
473	13269	28723
474	13291	28680
475	13311	28636
476	13333	28596
477	13354	28552
478	13375	28510
479	13397	28468
480	13418	28428
481	13441	28388
482	13464	28351
483	13495	28330
484	13520	28296
485	13544	28260
486	13569	28225
487	13592	28187
488	13616	28152
489	13640	28117
490	13668	28089
491	13695	28059
492	13716	28018
493	13744	27990
494	13772	27963
495	13800	27934
496	13826	27903
497	13852	27871
498	13879	27841
499	13909	27819
500	13947	27811
501	13980	27793
502	14010	27770
503	14052	27771
504	14090	27763
505	14127	27752
506	14162	27738
507	14192	27715
508	14227	27699
509	14255	27673
510	14283	27644
511	14320	27634
512	14350	27609
513	14381	27588
514	14419	27578
515	14448	27552
516	14484	27541
517	14518	27523
518	14547	27496
519	14581	27479
520	14610	27453
521	14640	27430
522	14678	27420
523	14712	27403
524	14740	27375
525	14770	27350
526	14804	27334
527	14835	27310
528	14870	27294
529	14906	27282
530	14938	27259
531	14968	27236
532	15003	27220
533	15034	27197
534	15074	27190
535	15117	27188
536	15150	27169
537	15178	27141
538	15207	27114
539	15242	27097
540	15270	27068
541	15305	27052
542	15365	27081
543	15400	27064
544	15435	27047
545	15480	27048
546	15513	27027
547	15557	27026
548	15601	27025
549	15650	27033
550	15683	27012
551	15712	26983
552	15744	26961
553	15776	26939
554	15808	26917
555	15839	26892
556	15870	26869
557	15903	26848
558	15930	26817
559	15970	26807
560	15999	26779
561	16034	26761
562	16069	26743
563	16099	26719
564	16132	26697
565	16177	26696
566	16213	26679
567	16247	26659
568	16286	26647
569	16316	26621
570	16347	26597
571	16376	26569
572	16416	26558
573	16450	26538
574	16485	26520
575	16522	26505
576	16554	26481
577	16583	26453
578	16612	26424
579	16647	26406
580	16679	26383
581	16710	26358
582	16744	26337
583	16777	26315
584	16809	26291
585	16846	26276
586	16880	26255
587	16909	26227
588	16934	26193
589	16974	26180
590	17001	26149
591	17030	26120
592	17062	26097
593	17093	26072
594	17134	26061
595	17185	26066
596	17229	26060
597	17263	26040
598	17297	26018
599	17331	25997
600	17363	25973
601	17396	25950
602	17432	25931
603	17468	25913
604	17494	25879
605	17528	25858
606	17566	25842
607	17600	25822
608	17637	25804
609	17666	25775
610	17697	25749
611	17724	25717
612	17765	25706
613	17796	25679
614	17828	25655
615	17860	25631
616	17893	25608
617	17926	25584
618	17958	25559
619	17999	25547
620	18034	25526
621	18061	25494
622	18106	25488
623	18140	25466
624	18172	25442
625	18223	25443
626	18250	25411
627	18277	25378
628	18305	25348
629	18337	25323
630	18365	25292
631	18391	25258
632	18428	25240
633	18457	25211
634	18481	25175
635	18508	25143
636	18538	25116
637	18567	25086
638	18591	25050
639	18623	25025
640	18654	24998
641	18680	24965
642	18706	24932
643	18734	24901
644	18760	24868
645	18787	24836
646	18819	24811
647	18851	24785
648	18876	24751
649	18904	24720
650	18933	24692
651	18962	24662
652	18985	24625
653	19018	24601
654	19046	24571
655	19076	24543
656	19104	24513
657	19140	24492
658	19172	24467
659	19197	24432
660	19234	24414
661	19279	24405
662	19302	24368
663	19333	24341
664	19362	24312
665	19390	24282
666	19414	24245
667	19444	24218
668	19478	24195
669	19505	24163
670	19537	24137
671	19564	24105
672	19594	24077
673	19619	24043
674	19645	24011
675	19677	23985
676	19705	23955
677	19732	23924
678	19770	23905
679	19795	23870
680	19824	23841
681	19852	23810
682	19879	23779
683	19909	23751
684	19933	23716
685	19962	23687
686	19990	23657
687	20016	23623
688	20043	23592
689	20076	23568
690	20103	23536
691	20126	23500
692	20156	23472
693	20185	23443
694	20213	23413
695	20238	23379
696	20270	23353
697	20317	23344
698	20340	23308
699	20371	23281
700	20399	23251
701	20429	23223
702	20452	23187
703	20484	23160
704	20517	23136
705	20545	23106
706	20572	23074
707	20602	23046
708	20627	23013
